ID,Team,Title,Description,Status,Estimate,Priority,Project ID,Project,Creator,Assignee,Labels,Cycle Number,Cycle Name,Cycle Start,Cycle End,Created,Updated,Started,Triaged,Completed,Canceled,Archived,Due Date,Parent issue,Initiatives,Project Milestone ID,Project Milestone,SLA Status,Roadmaps
GDB-15,Genderbase,Anonymous question submission,Allow users to submit questions without providing an email address,Backlog,,High,18273b8c-98cb-4e7d-9c32-9b786b4af56d,Genderbase Web App,dave@dave.io,dave@dave.io,"anonymous, questions, core",,,,,,,,,,,,,,,,,,
GDB-16,Genderbase,Implement anonymous mode for question submission,Add UI option for users to submit without providing email,Backlog,,High,18273b8c-98cb-4e7d-9c32-9b786b4af56d,Genderbase Web App,dave@dave.io,dave@dave.io,"anonymous, questions, ui",,,,,,,,,,,,,GDB-15,,,,,
GDB-17,Genderbase,Create anonymous question backend logic,Implement server-side handling for anonymous submissions,Backlog,,High,18273b8c-98cb-4e7d-9c32-9b786b4af56d,Genderbase Web App,dave@dave.io,dave@dave.io,"anonymous, questions, backend",,,,,,,,,,,,,GDB-15,,,,,
GDB-18,Genderbase,Question notification system,Create a system to notify users by email when their question receives a response,Backlog,,High,18273b8c-98cb-4e7d-9c32-9b786b4af56d,Genderbase Web App,dave@dave.io,dave@dave.io,"notifications, email, questions",,,,,,,,,,,,,,,,,,
GDB-19,Genderbase,Set up question notification database,Create notification model and database schema,Backlog,,High,18273b8c-98cb-4e7d-9c32-9b786b4af56d,Genderbase Web App,dave@dave.io,dave@dave.io,"notifications, database, questions",,,,,,,,,,,,,GDB-18,,,,,
GDB-20,Genderbase,Implement notification delivery system,Build email sending functionality for question responses,Backlog,,High,18273b8c-98cb-4e7d-9c32-9b786b4af56d,Genderbase Web App,dave@dave.io,dave@dave.io,"notifications, email, questions",,,,,,,,,,,,,GDB-18,,,,,
GDB-21,Genderbase,Create notification preferences UI,Build interface for users to manage notification preferences,Backlog,,Medium,18273b8c-98cb-4e7d-9c32-9b786b4af56d,Genderbase Web App,dave@dave.io,dave@dave.io,"notifications, ui",,,,,,,,,,,,,GDB-18,,,,,
GDB-22,Genderbase,Responder pseudonyms,Implement system to generate and assign random pseudonyms to responders for anonymity,Backlog,,High,18273b8c-98cb-4e7d-9c32-9b786b4af56d,Genderbase Web App,dave@dave.io,dave@dave.io,"pseudonyms, responders, anonymity",,,,,,,,,,,,,,,,,,
GDB-23,Genderbase,Create pseudonym generator for responders,Implement algorithm to generate unique responder pseudonyms,Backlog,,High,18273b8c-98cb-4e7d-9c32-9b786b4af56d,Genderbase Web App,dave@dave.io,dave@dave.io,"pseudonyms, responders, algorithm",,,,,,,,,,,,,GDB-22,,,,,
GDB-24,Genderbase,Add responder pseudonym UI,Create interface for responders to view/set their pseudonym,Backlog,,Medium,18273b8c-98cb-4e7d-9c32-9b786b4af56d,Genderbase Web App,dave@dave.io,dave@dave.io,"pseudonyms, responders, ui",,,,,,,,,,,,,GDB-22,,,,,
GDB-25,Genderbase,Question conversation UI,Build UI for back-and-forth conversation between askers and responders,Backlog,,High,18273b8c-98cb-4e7d-9c32-9b786b4af56d,Genderbase Web App,dave@dave.io,dave@dave.io,"ui, questions, conversation",,,,,,,,,,,,,,,,,,
GDB-26,Genderbase,Implement question conversation thread UI,Design and build threaded conversation view for questions,Backlog,,High,18273b8c-98cb-4e7d-9c32-9b786b4af56d,Genderbase Web App,dave@dave.io,dave@dave.io,"ui, questions, conversation",,,,,,,,,,,,,GDB-25,,,,,
GDB-27,Genderbase,Create question response form,Implement form for responders to reply to questions,Backlog,,High,18273b8c-98cb-4e7d-9c32-9b786b4af56d,Genderbase Web App,dave@dave.io,dave@dave.io,"ui, questions, conversation",,,,,,,,,,,,,GDB-25,,,,,
GDB-28,Genderbase,Add asker follow-up UI,Build interface for original asker to follow up on questions,Backlog,,High,18273b8c-98cb-4e7d-9c32-9b786b4af56d,Genderbase Web App,dave@dave.io,dave@dave.io,"ui, questions, conversation",,,,,,,,,,,,,GDB-25,,,,,
GDB-29,Genderbase,Conversation closing functionality,Implement ability for either party to close a conversation,Backlog,,Medium,18273b8c-98cb-4e7d-9c32-9b786b4af56d,Genderbase Web App,dave@dave.io,dave@dave.io,"questions, conversation, workflow",,,,,,,,,,,,,,,,,,
GDB-30,Genderbase,Implement conversation closing button,Add UI element for closing conversations,Backlog,,Medium,18273b8c-98cb-4e7d-9c32-9b786b4af56d,Genderbase Web App,dave@dave.io,dave@dave.io,"questions, conversation, ui",,,,,,,,,,,,,GDB-29,,,,,
GDB-31,Genderbase,Create conversation close backend logic,Implement server-side handling of conversation closing,Backlog,,Medium,18273b8c-98cb-4e7d-9c32-9b786b4af56d,Genderbase Web App,dave@dave.io,dave@dave.io,"questions, conversation, backend",,,,,,,,,,,,,GDB-29,,,,,
GDB-32,Genderbase,Add responder final response capability,Allow responders to send one final message after closure,Backlog,,Medium,18273b8c-98cb-4e7d-9c32-9b786b4af56d,Genderbase Web App,dave@dave.io,dave@dave.io,"questions, conversation, workflow",,,,,,,,,,,,,GDB-29,,,,,
GDB-33,Genderbase,Knowledge base contribution workflow,Build system to convert closed questions into knowledge base articles with responder editing,Backlog,,High,fb1aecba-c3c9-4c49-b78a-54926e9b0387,Genderbase Content,dave@dave.io,dave@dave.io,"knowledge-base, workflow",,,,,,,,,,,,,,,,,,
GDB-34,Genderbase,Design knowledge conversion UI,Create interface for converting questions to knowledge articles,Backlog,,High,fb1aecba-c3c9-4c49-b78a-54926e9b0387,Genderbase Content,dave@dave.io,dave@dave.io,"knowledge-base, ui, workflow",,,,,,,,,,,,,GDB-33,,,,,
GDB-35,Genderbase,Implement knowledge conversion backend,Build server-side logic for question-to-knowledge conversion,Backlog,,High,fb1aecba-c3c9-4c49-b78a-54926e9b0387,Genderbase Content,dave@dave.io,dave@dave.io,"knowledge-base, backend, workflow",,,,,,,,,,,,,GDB-33,,,,,
GDB-36,Genderbase,Add knowledge editing capabilities,Create rich editor for knowledge article content,Backlog,,High,fb1aecba-c3c9-4c49-b78a-54926e9b0387,Genderbase Content,dave@dave.io,dave@dave.io,"knowledge-base, ui, editor",,,,,,,,,,,,,GDB-33,,,,,
GDB-37,Genderbase,Knowledge approval system,Create system requiring multiple responder approvals before publishing knowledge articles,Backlog,,Medium,fb1aecba-c3c9-4c49-b78a-54926e9b0387,Genderbase Content,dave@dave.io,dave@dave.io,"knowledge-base, moderation",,,,,,,,,,,,,,,,,,
GDB-38,Genderbase,Create knowledge approval request UI,Build interface for responders to request article approval,Backlog,,Medium,fb1aecba-c3c9-4c49-b78a-54926e9b0387,Genderbase Content,dave@dave.io,dave@dave.io,"knowledge-base, ui, moderation",,,,,,,,,,,,,GDB-37,,,,,
GDB-39,Genderbase,Implement approval voting system,Create backend system for responders to vote on articles,Backlog,,Medium,fb1aecba-c3c9-4c49-b78a-54926e9b0387,Genderbase Content,dave@dave.io,dave@dave.io,"knowledge-base, backend, moderation",,,,,,,,,,,,,GDB-37,,,,,
GDB-40,Genderbase,Add approval threshold configuration,Create configurable threshold for required approvals,Backlog,,Low,fb1aecba-c3c9-4c49-b78a-54926e9b0387,Genderbase Content,dave@dave.io,dave@dave.io,"knowledge-base, config, moderation",,,,,,,,,,,,,GDB-37,,,,,
GDB-41,Genderbase,Design approval workflow UI,Create interface for knowledge approval workflow,Backlog,,Medium,fb1aecba-c3c9-4c49-b78a-54926e9b0387,Genderbase Content,dave@dave.io,dave@dave.io,"knowledge-base, moderation, ui",,,,,,,,,,,,,GDB-37,,,,,
GDB-42,Genderbase,Implement approval request system,Build system for submitting approval requests,Backlog,,Medium,fb1aecba-c3c9-4c49-b78a-54926e9b0387,Genderbase Content,dave@dave.io,dave@dave.io,"knowledge-base, moderation, backend",,,,,,,,,,,,,GDB-37,,,,,
GDB-43,Genderbase,Create approval voting mechanism,Implement voting system for approvals,Backlog,,Medium,fb1aecba-c3c9-4c49-b78a-54926e9b0387,Genderbase Content,dave@dave.io,dave@dave.io,"knowledge-base, moderation, voting",,,,,,,,,,,,,GDB-37,,,,,
GDB-44,Genderbase,Add approval status tracking,Create tracking for article approval status,Backlog,,Medium,fb1aecba-c3c9-4c49-b78a-54926e9b0387,Genderbase Content,dave@dave.io,dave@dave.io,"knowledge-base, moderation, tracking",,,,,,,,,,,,,GDB-37,,,,,
GDB-45,Genderbase,Terminology management system,"Create UI for managing ""How Do I Say...?"" terminology entries",Backlog,,Medium,fb1aecba-c3c9-4c49-b78a-54926e9b0387,Genderbase Content,dave@dave.io,dave@dave.io,"terminology, ui",,,,,,,,,,,,,,,,,,
GDB-46,Genderbase,Create terminology entry form,Build form for adding terminology definitions,Backlog,,Medium,fb1aecba-c3c9-4c49-b78a-54926e9b0387,Genderbase Content,dave@dave.io,dave@dave.io,"terminology, ui",,,,,,,,,,,,,GDB-45,,,,,
GDB-47,Genderbase,Implement terminology list view,Create paginated list of terminology entries,Backlog,,Medium,fb1aecba-c3c9-4c49-b78a-54926e9b0387,Genderbase Content,dave@dave.io,dave@dave.io,"terminology, ui",,,,,,,,,,,,,GDB-45,,,,,
GDB-48,Genderbase,Add terminology detail view,Build detailed view of individual terminology entries,Backlog,,Medium,fb1aecba-c3c9-4c49-b78a-54926e9b0387,Genderbase Content,dave@dave.io,dave@dave.io,"terminology, ui",,,,,,,,,,,,,GDB-45,,,,,
GDB-49,Genderbase,Search functionality,Implement robust search across questions and knowledge base,Backlog,,Medium,18273b8c-98cb-4e7d-9c32-9b786b4af56d,Genderbase Web App,dave@dave.io,dave@dave.io,"search, ux",,,,,,,,,,,,,,,,,,
GDB-50,Genderbase,Create search indexing for content,Set up database indexes and search engine integration,Backlog,,Medium,18273b8c-98cb-4e7d-9c32-9b786b4af56d,Genderbase Web App,dave@dave.io,dave@dave.io,"search, backend",,,,,,,,,,,,,GDB-49,,,,,
GDB-51,Genderbase,Implement search UI components,Build search box and results display components,Backlog,,Medium,18273b8c-98cb-4e7d-9c32-9b786b4af56d,Genderbase Web App,dave@dave.io,dave@dave.io,"search, ui",,,,,,,,,,,,,GDB-49,,,,,
GDB-52,Genderbase,Add search filtering capabilities,Implement filtering options for search results,Backlog,,Low,18273b8c-98cb-4e7d-9c32-9b786b4af56d,Genderbase Web App,dave@dave.io,dave@dave.io,"search, ui, filtering",,,,,,,,,,,,,GDB-49,,,,,
GDB-53,Genderbase,Mobile responsive design,Ensure site works well on mobile devices with appropriate layouts,Backlog,,High,18273b8c-98cb-4e7d-9c32-9b786b4af56d,Genderbase Web App,dave@dave.io,dave@dave.io,"ui, mobile, responsive",,,,,,,,,,,,,,,,,,
GDB-54,Genderbase,Design mobile responsive layouts,Create responsive designs for mobile screens,Backlog,,High,18273b8c-98cb-4e7d-9c32-9b786b4af56d,Genderbase Web App,dave@dave.io,dave@dave.io,"ui, mobile, responsive",,,,,,,,,,,,,GDB-53,,,,,
GDB-55,Genderbase,Implement mobile navigation menu,Build collapsible navigation for mobile devices,Backlog,,High,18273b8c-98cb-4e7d-9c32-9b786b4af56d,Genderbase Web App,dave@dave.io,dave@dave.io,"ui, mobile, navigation",,,,,,,,,,,,,GDB-53,,,,,
GDB-56,Genderbase,Optimize forms for mobile input,Adjust form layouts and inputs for mobile usability,Backlog,,Medium,18273b8c-98cb-4e7d-9c32-9b786b4af56d,Genderbase Web App,dave@dave.io,dave@dave.io,"ui, mobile, forms",,,,,,,,,,,,,GDB-53,,,,,
